month,2010,2011,2012,2013,2014,2015
1,300,,,,,
2,200,,,,,
3,250,,,,,
4,190,,,,,
5,210,,,,,
6,530,,,,,
7,780,,,,,
8,610,,,,,
9,530,,,,,
10,350,,,,,
11,230,,,,,
12,200,,,,,
